Timestamp	Guess	Group
7/4/2016 10:36:01	100000	Group 2
7/4/2016 10:36:02	1000000	Group 1
7/4/2016 10:36:22	8000000	Group 2
7/4/2016 10:36:24	2000000	Group 1
7/4/2016 10:36:28	9000000	Group 2
7/4/2016 10:36:28	3500000	Group 2
7/4/2016 10:36:37	2000000	Group 2
7/4/2016 10:36:38	60000000	Group 2
7/4/2016 10:36:39	2000000	Group 1
7/4/2016 10:36:41	2000000	Group 1
7/4/2016 10:36:48	700000	Group 1
7/4/2016 10:36:52	600000	Group 1
7/4/2016 10:36:55	1200000	Group 1
7/4/2016 10:36:57	3500000	Group 2
7/4/2016 10:37:09	20000000	Group 2
7/4/2016 10:37:13	650	Group 1
7/4/2016 10:37:14	5000000	Group 2
7/4/2016 10:37:30	10000000	Group 2
7/4/2016 10:38:04	2	Group 2
7/4/2016 10:39:31	800000	Group 1
7/4/2016 10:39:31	6000000	Group 1
7/4/2016 10:39:48	800000	Group 1
7/4/2016 10:39:55	200000	Group 1
7/4/2016 10:40:16	8500000	Group 2
7/4/2016 10:40:18	5000000	Group 2
