Timestamp	Guess	Group
7/4/2016 10:36:01	100,000	Group 2
7/4/2016 10:36:02	1,000,000	Group 1
7/4/2016 10:36:22	8,000,000	Group 2
7/4/2016 10:36:24	2,000,000	Group 1
7/4/2016 10:36:28	9,000,000	Group 2
7/4/2016 10:36:28	3,500,000	Group 2
7/4/2016 10:36:37	2,000,000	Group 2
7/4/2016 10:36:38	60,000,000	Group 2
7/4/2016 10:36:39	2,000,000	Group 1
7/4/2016 10:36:41	2,000,000	Group 1
7/4/2016 10:36:48	700,000	Group 1
7/4/2016 10:36:52	600,000	Group 1
7/4/2016 10:36:55	1,200,000	Group 1
7/4/2016 10:36:57	3,500,000	Group 2
7/4/2016 10:37:09	20,000,000	Group 2
7/4/2016 10:37:13	650	Group 1
7/4/2016 10:37:14	5,000,000	Group 2
7/4/2016 10:37:30	10,000,000	Group 2
7/4/2016 10:38:04	2	Group 2
7/4/2016 10:39:31	800,000	Group 1
7/4/2016 10:39:31	6,000,000	Group 1
7/4/2016 10:39:48	800,000	Group 1
7/4/2016 10:39:55	200,000	Group 1
7/4/2016 10:40:16	8,500,000	Group 2
7/4/2016 10:40:18	5,000,000	Group 2
7/24/2016 21:59:43	2,300,009	Group 2
1/18/2017 8:14:42	9,526,000	Group 2
1/18/2017 8:14:41	3,000,000	Group 1
1/18/2017 8:14:42	5,000,000	Group 2
1/18/2017 8:14:44	2,000,000	Group 1
1/18/2017 8:14:46	4,000,000	Group 1
1/18/2017 8:14:51	500,000	Group 1
1/18/2017 8:14:55	10,000,000	Group 2
1/18/2017 8:14:59	11,000,000	Group 2
1/18/2017 8:15:03	5,500,000	Group 1
1/18/2017 8:15:05	800,000	Group 1
1/18/2017 8:15:06	6,000,000	Group 1
1/18/2017 8:15:16	8,000,000	Group 2
1/18/2017 8:15:18	3,000,000	Group 2
1/18/2017 8:15:37	6,000,000	Group 2
1/18/2017 8:15:50	30,000,000	Group 1
1/18/2017 8:16:20	9,000,000	Group 2
1/30/2017 8:18:43	3,000,000	Group 2
1/30/2017 8:18:43	700,000	Group 1
1/30/2017 8:18:50	5,000,000	Group 2
1/30/2017 8:18:54	1,000,000	Group 1
1/30/2017 8:19:02	3,000,000	Group 1
1/30/2017 8:19:21	5,000,000	Group 2
1/30/2017 8:19:24	2,000,000	Group 1
7/6/2017 8:08:57	7000000	Group 2
7/6/2017 8:09:04	7000000	Group 2
7/6/2017 8:09:08	900000	Group 1
7/6/2017 8:09:16	2000000	Group 2
7/6/2017 8:09:21	3000000	Group 1
7/6/2017 8:09:22	1500000	Group 1
7/6/2017 8:09:26	2800000	Group 1
7/6/2017 8:09:26	3000000	Group 1
7/6/2017 8:09:26	2300000	Group 1
7/6/2017 8:09:32	700000	Group 1
7/6/2017 8:09:35	3000000	Group 2
7/6/2017 8:09:37	8000000	Group 2
7/6/2017 8:09:44	1000000	Group 2
7/6/2017 8:09:54	1.5	Group 1
7/6/2017 8:09:56	1000000	Group 2
7/6/2017 8:10:07	9000000	Group 2
7/6/2017 8:10:11	3000000	Group 1
7/6/2017 8:10:23	15000000	Group 1
